id,minute,phase,inject_type,message,expected_response,severity,artifact_reference
A1,12,Signal,monitoring_alert,Monitoring: risk_score.mean delta +0.06 over baseline window (24h). Ticket RT-A1 created by Ops.,Assign triage owner within 15 min; run quick canary tests; notify ML-Ops.,medium,ticket:RT-A1
A2,20,Signal,user_report,"Partner support: two cases reported with wrong outcomes (caseIDs S-1001,S-1002).","Validate sample predictions, check inputs, collect logs.",medium,cases:S-1001;S-1002
B1,50,Ambiguity,ingest_file,New ingest file ingest_v2026_04_21.csv added to staging. Checksum mismatch (1 bit difference) and missing owner tag.,Run provenance lookup; quarantine ingest; block pipeline if no owner found.,high,file:ingest_v2026_04_21.csv
B2,70,Ambiguity,training_job,Logs show training job completed with unknown run_id 'sandbox-xyz' in training cluster.,"Identify run origin, inspect artifacts, compare dataset hashes.",high,run:sandbox-xyz
C1,125,Decision,media_inquiry,External media: 'Multiple customers report wrong risk decisions â€” are you aware?' Request for statement within 2 hours.,Legal + Comms draft holding statement; decide on internal communication cadence.,critical,media:press_inquiry_001
C2,140,Decision,regulatory_notice,Simulated regulator notice indicating potential reportable incident for customer-impacting decisions.,Legal to assess mandatory reporting obligations; prepare regulator notice.,critical,regulatory:sim_notice_01
P-J1,15,Signal,prompt_injection_high,Synthetic prompt-injection attempt observed in test harness: user prompt includes 'Ignore previous instructions' pattern and a payload-like structure.,Validate prompt-preprocessors; ensure sanitization; escalate to ML-Ops; enable human-in-loop for affected flows.,high,probe:prompt_inject_01
P-J2,60,Ambiguity,prompt_injection_med,User-submitted prompt displays subtle social-engineering content aiming to bias model outputs for specific demographics.,"Run sample classification, enable moderation layer checks, log prompt and context for forensics.",medium,probe:prompt_inject_02
P-J3,170,Decision,prompt_injection_low,Low-confidence heuristic prompt manipulation pattern detected in low-volume channel.,"Monitor, create threshold alert if frequency increases; no immediate rollback.",low,probe:prompt_inject_03
M-I1,48,Ambiguity,model_infiltration_high,Training artifact discovered with unexpected dependency and unknown provenance 'thirdparty-xyz'. File signatures do not match registry.,Quarantine artifact; block deployment pipelines; full forensic snapshot; legal notified.,high,artifact:thirdparty-xyz
M-I2,110,Decision,model_infiltration_med,An imported embedding dataset shows distributional anomalies consistent with synthetic augmentation from unvetted source.,"Run deep provenance checks, enable stricter validation for similar datasets.",medium,artifact:embedset-42
M-I3,200,Decision,model_infiltration_low,Minor discrepancy in auxiliary feature store ingestion; likely mis-ordered columns.,"Correct ingestion script, re-run validation; document change.",low,artifact:featurestore-v2
S-D1,30,Signal,sla_degrading_high,Canary traffic response latency increased by 450% for inference endpoint 'risk-eval-prod'.,"Throttle traffic, failover to canary fallback, alert SRE and ML-Ops.",high,service:risk-eval-prod
S-D2,95,Ambiguity,sla_degrading_med,Intermittent 5xxs observed in edge cache leading to partial service degradation.,Investigate cache layer; enable increased sampling and request traces.,medium,service:edge-cache-1
S-D3,155,Decision,sla_degrading_low,Minor throughput variance during expected load test window.,"Log and monitor, no action required unless trend continues beyond 24h.",low,service:load-test
